dataset,config_id,k_shot,seed,stage,class_index,class_name,f1
eurosat,resnet50_scratch_ms9,5,42,stage1,2,HerbaceousVegetation,0.1261682242990654
eurosat,resnet50_scratch_ms9,5,42,stage1,3,Highway,0.21875
eurosat,resnet50_scratch_ms9,5,42,stage1,4,Industrial,0.5306122448979592
eurosat,resnet50_scratch_ms9,5,42,stage1,5,Pasture,0.5050100200400801
eurosat,resnet50_scratch_ms9,5,42,stage1,6,PermanentCrop,0.38671875
eurosat,resnet50_scratch_ms9,5,42,stage1,7,Residential,0.4101123595505618
eurosat,resnet50_scratch_ms9,5,42,stage1,8,River,0.6118721461187214
eurosat,resnet50_scratch_ms9,5,42,stage1,9,SeaLake,0.7973333333333333
eurosat,resnet50_scratch_ms9,5,42,stage2,0,AnnualCrop,0.28780487804878047
eurosat,resnet50_scratch_ms9,5,42,stage2,1,Forest,0.7152317880794702
eurosat,resnet50_scratch_ms9,5,42,stage2,2,HerbaceousVegetation,0.5207547169811321
eurosat,resnet50_scratch_ms9,5,42,stage2,3,Highway,0.22044088176352705
eurosat,resnet50_scratch_ms9,5,42,stage2,4,Industrial,0.560530679933665
eurosat,resnet50_scratch_ms9,5,42,stage2,5,Pasture,0.4088050314465409
eurosat,resnet50_scratch_ms9,5,42,stage2,6,PermanentCrop,0.40669856459330145
eurosat,resnet50_scratch_ms9,5,42,stage2,7,Residential,0.34690265486725663
eurosat,resnet50_scratch_ms9,5,42,stage2,8,River,0.5499058380414312
eurosat,resnet50_scratch_ms9,5,42,stage2,9,SeaLake,0.882800608828006
eurosat,resnet50_scratch_ms9,5,123,stage1,0,AnnualCrop,0.4594594594594595
eurosat,resnet50_scratch_ms9,5,123,stage1,1,Forest,0.5365853658536586
eurosat,resnet50_scratch_ms9,5,123,stage1,2,HerbaceousVegetation,0.0
eurosat,resnet50_scratch_ms9,5,123,stage1,3,Highway,0.16455696202531644
eurosat,resnet50_scratch_ms9,5,123,stage1,4,Industrial,0.5
eurosat,resnet50_scratch_ms9,5,123,stage1,5,Pasture,0.28460038986354774
eurosat,resnet50_scratch_ms9,5,123,stage1,6,PermanentCrop,0.21574344023323616
eurosat,resnet50_scratch_ms9,5,123,stage1,7,Residential,0.3805970149253731
eurosat,resnet50_scratch_ms9,5,123,stage1,8,River,0.6462167689161554
eurosat,resnet50_scratch_ms9,5,123,stage1,9,SeaLake,0.8
eurosat,resnet50_scratch_ms9,5,123,stage2,0,AnnualCrop,0.5620689655172414
eurosat,resnet50_scratch_ms9,5,123,stage2,1,Forest,0.696969696969697
eurosat,resnet50_scratch_ms9,5,123,stage2,2,HerbaceousVegetation,0.466786355475763
eurosat,resnet50_scratch_ms9,5,123,stage2,3,Highway,0.14444444444444443
eurosat,resnet50_scratch_ms9,5,123,stage2,4,Industrial,0.768642447418738
eurosat,resnet50_scratch_ms9,5,123,stage2,5,Pasture,0.4397463002114165
eurosat,resnet50_scratch_ms9,5,123,stage2,6,PermanentCrop,0.483271375464684
eurosat,resnet50_scratch_ms9,5,123,stage2,7,Residential,0.5026737967914439
eurosat,resnet50_scratch_ms9,5,123,stage2,8,River,0.6164705882352941
eurosat,resnet50_scratch_ms9,5,123,stage2,9,SeaLake,0.8970099667774086
eurosat,swin_b_scratch_ms9,5,42,stage1,0,AnnualCrop,0.42105263157894735
eurosat,swin_b_scratch_ms9,5,42,stage1,1,Forest,0.606508875739645
eurosat,swin_b_scratch_ms9,5,42,stage1,2,HerbaceousVegetation,0.45759368836291914
eurosat,swin_b_scratch_ms9,5,42,stage1,3,Highway,0.20109689213893966
eurosat,swin_b_scratch_ms9,5,42,stage1,4,Industrial,0.60625
eurosat,swin_b_scratch_ms9,5,42,stage1,5,Pasture,0.6282973621103117
eurosat,swin_b_scratch_ms9,5,42,stage1,6,PermanentCrop,0.358695652173913
eurosat,swin_b_scratch_ms9,5,42,stage1,7,Residential,0.35313531353135313
eurosat,swin_b_scratch_ms9,5,42,stage1,8,River,0.5904365904365905
eurosat,swin_b_scratch_ms9,5,42,stage1,9,SeaLake,0.8885542168674698
eurosat,swin_b_scratch_ms9,5,42,stage2,0,AnnualCrop,0.2898550724637681
