dataset,k_shot,stage,seed,config_a,config_b,p_raw,n_discordant,b_only,c_only,exact_used,n_err_a,n_err_b,n_err_both,jaccard,gpu_mismatch,p_holm,significant_holm_05
eurosat,25,stage2,42,resnet50_imagenet_ms9,resnet50_scratch_ms9,7.660413386451077e-79,819,679,140,False,304,843,164,0.16683621566632756,False,2.298124015935323e-77,True
eurosat,25,stage2,42,resnet50_imagenet_ms9,swin_b_imagenet_ms9,4.037578892375083e-11,314,98,216,False,304,186,88,0.21890547263681592,False,8.882673563225184e-10,True
eurosat,25,stage2,42,resnet50_imagenet_ms9,swin_b_imagenet_rgb3,1.4325672308220804e-17,330,87,243,False,304,148,61,0.15601023017902813,False,3.581418077055201e-16,True
eurosat,25,stage2,42,resnet50_imagenet_ms9,swin_b_satlas-ms_ms9,1.0042220149888283e-31,300,48,252,False,304,100,52,0.14772727272727273,False,2.912243843467602e-30,True
eurosat,25,stage2,42,resnet50_imagenet_ms9,swin_b_satlas-rgb_rgb3,1.9731752900753933e-09,361,123,238,False,304,189,66,0.15456674473067916,False,3.749033051143247e-08,True
eurosat,25,stage2,42,resnet50_imagenet_ms9,swin_b_scratch_ms9,3.064709000029069e-81,765,647,118,False,304,833,186,0.19558359621451105,False,9.500597900090113e-80,True
eurosat,25,stage2,42,resnet50_imagenet_rgb3,resnet50_satlas-ms_ms9,0.051234633292101026,341,152,189,False,274,237,85,0.19953051643192488,False,0.3074077997526061,False
eurosat,25,stage2,42,resnet50_imagenet_rgb3,resnet50_satlas-rgb_rgb3,0.3780965203314177,372,195,177,False,274,292,97,0.2068230277185501,False,1.0,False
eurosat,25,stage2,42,resnet50_imagenet_rgb3,resnet50_scratch_ms9,1.3693809384996845e-89,801,685,116,False,274,843,158,0.16475495307612095,False,4.655895190898927e-88,True
eurosat,25,stage2,42,resnet50_imagenet_rgb3,swin_b_imagenet_ms9,1.7993482900820213e-06,332,122,210,False,274,186,64,0.16161616161616163,False,2.699022435123032e-05,True
eurosat,25,stage2,42,resnet50_imagenet_rgb3,swin_b_imagenet_rgb3,3.096146149698906e-13,294,84,210,False,274,148,64,0.1787709497206704,False,7.121136144307484e-12,True
eurosat,25,stage2,42,resnet50_imagenet_rgb3,swin_b_satlas-ms_ms9,4.321140366734816e-24,292,59,233,False,274,100,41,0.12312312312312312,False,1.1667078990184002e-22,True
eurosat,25,stage2,42,resnet50_imagenet_rgb3,swin_b_satlas-rgb_rgb3,2.753187312061473e-06,321,118,203,False,274,189,71,0.18112244897959184,False,3.854462236886062e-05,True
eurosat,25,stage2,42,resnet50_imagenet_rgb3,swin_b_scratch_ms9,1.7386693225346376e-85,811,685,126,False,274,833,148,0.1543274244004171,False,5.737608764364304e-84,True
eurosat,25,stage2,42,resnet50_satlas-ms_ms9,resnet50_satlas-rgb_rgb3,0.002056543613489601,307,181,126,False,237,292,111,0.26555023923444976,False,0.022621979748385607,True
eurosat,25,stage2,42,resnet50_satlas-ms_ms9,resnet50_scratch_ms9,7.314130536332646e-108,752,679,73,False,237,843,164,0.17903930131004367,False,2.706228298443079e-106,True
eurosat,25,stage2,42,resnet50_satlas-ms_ms9,swin_b_imagenet_ms9,0.00444950637254016,309,129,180,False,237,186,57,0.1557377049180328,False,0.0444950637254016,True
eurosat,25,stage2,42,resnet50_satlas-ms_ms9,swin_b_imagenet_rgb3,1.3760134324139107e-07,279,95,184,False,237,148,53,0.15963855421686746,False,2.201621491862257e-06,True
eurosat,25,stage2,42,resnet50_satlas-ms_ms9,swin_b_satlas-ms_ms9,2.675860231680495e-18,243,53,190,False,237,100,47,0.16206896551724137,False,6.957236602369287e-17,True
eurosat,25,stage2,42,resnet50_satlas-ms_ms9,swin_b_satlas-rgb_rgb3,0.004972849997261578,280,116,164,False,237,189,73,0.20679886685552407,False,0.0447556499753542,True
eurosat,25,stage2,42,resnet50_satlas-ms_ms9,swin_b_scratch_ms9,4.796446839855917e-103,762,679,83,False,237,833,154,0.16812227074235808,False,1.7267208623481303e-101,True
eurosat,25,stage2,42,resnet50_satlas-rgb_rgb3,resnet50_scratch_ms9,7.908536830038207e-90,749,650,99,False,292,843,193,0.20488322717622082,False,2.7679878905133724e-88,True
